Provinsi,,15-24_Feb,25-54_Feb,55+_Feb,Jumlah,15-24_Aug,25-54_Aug,55+_Aug,Jumlah
Aceh,,"1,368.50","1,572.60","1,216.60","1,495.20","1,455.10","1,728.00","1,395.40","1,645.50"
Sumatera Utara,,"1,458.70","1,761.40","1,390.50","1,660.70","1,631.50","1,924.80","1,420.80","1,811.90"
Sumatera Barat,,915.3,"1,659.90","1,407.10","1,570.60","1,632.00","1,765.20","1,529.00","1,717.50"
Riau ,,"1,278.90","1,875.20","1,422.90","1,745.20","1,610.90","2,220.90","1,745.70","2,067.20"
Jambi,,"1,757.10","2,015.80","1,223.30","1,884.50","1,656.60","2,014.00","1,468.10","1,889.50"
Sumatera Selatan,,"1,792.50","1,651.70","1,409.30","1,634.70","1,343.70","1,670.20","1,494.10","1,602.60"
Bengkulu,,"1,172.10","1,335.00",989.8,"1,255.50","1,422.20","1,720.90","1,249.70","1,630.20"
Lampung,,"1,152.30","1,382.20","1,163.90","1,322.00","1,480.30","1,631.10","1,355.50","1,571.00"
Kepulauan Bangka Belitung,,"1,573.30","1,982.50","1,490.90","1,812.00","2,115.90","2,187.10","1,870.90","2,135.10"
Kepulauan Riau,,NA,"* 2.205,0",NA,"* 2.124,6","2,135.20","2,514.60","1,980.00","2,322.40"
DKI Jakarta,,NA,"2,279.50",NA,"2,268.90","1,459.60","2,396.30","2,329.10","2,340.00"
Jawa Barat,,"1,738.10","1,758.10","1,355.30","1,653.20","1,557.70","1,866.80","1,443.30","1,740.60"
Jawa Tengah,,"1,507.10","1,680.00","1,174.20","1,548.40","1,611.60","1,811.50","1,186.00","1,652.30"
DI Yogyakarta,,NA,"1,365.60","1,566.20","1,376.90","1,102.80","1,705.10","1,452.30","1,584.90"
Jawa Timur,,"1,420.80","1,415.20","1,055.60","1,312.90","1,415.30","1,569.10","1,169.20","1,451.90"
Banten,,"1,426.20","1,968.50","1,132.00","1,783.00","2,066.00","2,024.30","1,599.20","1,930.30"
Bali,,"1,846.20","1,940.20","1,534.30","1,854.00","1,714.70","1,972.20","1,870.00","1,926.50"
Nusa Tenggara Barat,,"1,552.80","1,647.30","1,017.00","1,523.70","1,019.90","1,301.20",901.5,"1,206.80"
Nusa Tenggara Timur,,521.4,697.5,NA,640.1,"1,042.10","1,104.90",928.6,"1,076.60"
Kalimantan Barat,,"1,614.70","2,039.00","1,360.70","1,913.00","1,375.90","1,976.40","1,581.00","1,839.30"
Kalimantan Tengah,,"* 1.535,7","1,949.60","1,551.80","1,824.60","1,808.30","2,472.30","2,068.70","2,332.00"
Kalimantan Selatan,,"* 1.363,1","1,709.40","1,362.60","1,606.90","1,572.10","1,778.40","1,734.30","1,751.00"
Kalimantan Timur,,NA,"2,218.80","2,248.00","2,220.90","2,094.80","2,313.80","2,449.30","2,301.90"
Kalimantan Utara,,"* 1.288,4","2,013.90",NA,"1,702.90","1,515.20","1,852.40","1,684.20","1,763.90"
Sulawesi Utara,,"1,649.60","1,821.10","1,822.70","1,803.70","1,697.70","2,129.70","1,802.70","2,018.40"
Sulawesi Tengah,,"1,044.20","1,576.40","1,191.80","1,438.50","1,255.10","1,600.00","1,219.90","1,483.30"
Sulawesi Selatan,,885.8,"1,596.70",809.4,"1,404.90","1,322.60","1,813.80","1,218.80","1,646.30"
Sulawesi Tenggara,,"1,256.10","1,983.70",949.4,"1,807.70","1,320.00","1,893.00","1,497.60","1,739.30"
Gorontalo,,"1,025.00","1,419.90","1,123.30","1,299.70","1,095.60","1,496.50",944.5,"1,331.50"
Sulawesi Barat,,"1,225.60","1,573.30",NA,"1,466.70","1,315.00","1,665.90","1,159.00","1,563.20"
Maluku,,"* 1.799,7","1,705.60",NA,"1,629.60","1,271.40","1,696.50","1,485.50","1,618.40"
Maluku Utara,,"1,413.10","1,112.90","* 911,6","1,136.70","1,387.70","1,765.70","1,880.60","1,717.10"
Papua Barat,,"1,068.90","2,727.80",NA,"2,076.50","1,897.90","3,347.10","3,498.30","3,095.40"
Papua,,NA,"2,323.50","2,791.90","2,393.00","2,342.00","3,136.60","2,675.60","3,024.50"
,,,,,,,,,
Indonesia,,"1,452.50","1,651.80","1,232.70","1,541.70","1,503.60","1,787.90","1,348.90","1,668.20"
