Provinsi,,Rata-rata Feb 2023,Rata-rata Aug 2023
Aceh,,2 294 901,2594529.697
Sumatera Utara,,2 393 548,2610583.681
Sumatera Barat,,2 603 514,2753516.957
Riau ,,2 872 526,3011039.924
Jambi,,2 524 049,2668478.458
Sumatera Selatan,,2 606 420,2767669.235
Bengkulu,,2 363 579,2740734.246
Lampung,,2 193 447,2424538.339
Kepulauan Bangka Belitung,,2 986 225,3221747.229
Kepulauan Riau,,4 143 219,4651057.076
DKI Jakarta,,5 071 094,5532624.092
Jawa Barat,,3 333 558,3674236.007
Jawa Tengah,,2 178 167,2321344.432
DI Yogyakarta,,2 374 873,2705600.832
Jawa Timur,,2 516 620,2654067.574
Banten,,3 732 183,4378057.554
Bali,,3 200 254,3380839.733
Nusa Tenggara Barat,,2 201 507,2344660.846
Nusa Tenggara Timur,,2 140 724,2339851.312
Kalimantan Barat,,2 699 931,2796614.622
Kalimantan Tengah,,3 129 693,3323456.909
Kalimantan Selatan,,2 971 235,3066883.553
Kalimantan Timur,,3 946 735,4068893.396
Kalimantan Utara,,3 550 356,3599652.967
Sulawesi Utara,,3 217 409,3282230.262
Sulawesi Tengah,,2 568 687,2648195.411
Sulawesi Selatan,,2 825 303,2969919.505
Sulawesi Tenggara,,2 653 241,2876321.151
Gorontalo,,2 590 343,2570180.707
Sulawesi Barat,,2 117 920,2367534.451
Maluku,,3 005 359,2865989.396
Maluku Utara,,3 015 999,3267084.283
Papua Barat,,3 307 020,3601390.373
Papua,,4 153 146,4420389.664
Indonesia,,2 944 541,3178227.238
