Kepolisian Daerah,2012,2013,2014
ACEH,224,181,158
SUMATERA UTARA,252,308,268
SUMATERA BARAT,297,289,298
RIAU,195,159,157
JAMBI,209,201,230
SUMATERA SELATAN,294,297,290
BENGKULU,221,258,215
LAMPUNG,56,62,99
KEP. BANGKA BELITUNG,497,194,134
KEP. RIAU,347,232,240
METRO JAYA,256,213,186
JAWA BARAT,74,66,71
JAWA TENGAH,34,46,49
DI YOGYAKARTA,261,191,201
JAWA TIMUR,63,45,37
BANTEN,76,87,115
BALI,144,148,123
NUSA TENGGARA BARAT,223,195,156
NUSA TENGGARA TIMUR,145,141,131
KALIMANTAN BARAT,216,212,179
KALIMANTAN TENGAH,132,131,124
KALIMANTAN SELATAN,96,188,156
KALIMANTAN TIMUR,302,285,230
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,299,224,263
SULAWESI TENGAH,308,286,281
SULAWESI SELATAN,204,182,157
SULAWESI TENGGARA,303,304,224
GORONTALO,271,344,305
SULAWESI BARAT,-,-,-
MALUKU,126,135,144
MALUKU UTARA,96,108,101
PAPUA BARAT,-,-,-
PAPUA,263,219,214
INDONESIA,146,140,131
