Provinsi,2021,2022,2023
ACEH,125,190,216
SUMATERA UTARA,250,292,433
SUMATERA BARAT,103,138,235
RIAU,110,191,237
JAMBI,104,149,192
SUMATERA SELATAN,153,134,214
BENGKULU,177,179,290
LAMPUNG,115,121,190
KEP. BANGKA BELITUNG,108,141,162
KEP. RIAU,111,159,259
METRO JAYA,277,307,357
JAWA BARAT,15,60,108
JAWA TENGAH,26,82,115
DI YOGYAKARTA,123,285,320
JAWA TIMUR,48,127,160
BANTEN,27,42,105
BALI,55,144,295
NUSA TENGGARA BARAT,122,98,146
NUSA TENGGARA TIMUR,90,111,250
KALIMANTAN BARAT,80,73,108
KALIMANTAN TENGAH,91,118,159
KALIMANTAN SELATAN,118,122,164
KALIMANTAN TIMUR,126,111,174
KALIMANTAN UTARA,140,179,273
SULAWESI UTARA,249,364,589
SULAWESI TENGAH,169,270,301
SULAWESI SELATAN,166,314,463
SULAWESI TENGGARA,91,144,340
GORONTALO,208,211,314
SULAWESI BARAT,110,141,183
MALUKU,177,128,270
MALUKU UTARA,82,94,205
PAPUA BARAT,289,353,532
PAPUA,186,174,347
INDONESIA,90,137,214
