Continent;Region;Country;Criminality
Asia;Southern Asia;Afghanistan;7,10
Africa;North Africa;Libya;6,93
Asia;South-Eastern Asia;Myanmar;8,15
Asia;Western Asia;Yemen;6,57
Africa;Central Africa;Central African Republic;6,75
Africa;East Africa;Somalia;6,13
Asia;Eastern Asia;Korea, DPR;4,82
Americas;South America;Venezuela;6,72
Africa;East Africa;South Sudan;6,32
Asia;Western Asia;Syria;7,07
Americas;Caribbean & Central;Nicaragua;5,72
Africa;Central Africa;Burundi;4,87
Asia;Central Asia and the Caucasus;Turkmenistan;4,40
Africa;Central Africa;Equatorial Guinea;4,38
Africa;East Africa;Eritrea;3,97
Africa;Central Africa;Congo, Dem, Rep,;7,35
Africa;West Africa;Mali;5,93
Africa;Southern Africa;Comoros;3,92
Africa;Central Africa;Chad;5,50
Americas;Caribbean & Central;Haiti;5,93
Asia;Central Asia and the Caucasus;Tajikistan;5,45
Africa;West Africa;Guinea-Bissau;5,10
Africa;East Africa;Sudan;6,37
Americas;South America;Suriname;4,77
Asia;Western Asia;Iran;7,03
Africa;Southern Africa;Zimbabwe;5,47
Africa;West Africa;Guinea;4,58
Africa;North Africa;Mauritania;4,38
Africa;Central Africa;Cameroon;6,27
Asia;Western Asia;Iraq;7,13
Americas;Caribbean & Central;El Salvador;5,92
Europe;Central & Eastern Europe;Belarus;5,87
Africa;West Africa;Liberia;5,50
Africa;Central Africa;Gabon;4,85
Africa;Central Africa;Congo, Rep,;4,78
Africa;Southern Africa;Mozambique;6,20
Oceania;Melanesia;Papua New Guinea;5,72
Americas;Caribbean & Central;Belize;4,87
Africa;Southern Africa;eSwatini;4,38
Africa;Southern Africa;Madagascar;5,58
Asia;Western Asia;Turkey;7,03
Americas;South America;Paraguay;7,52
Asia;Southern Asia;Sri Lanka;4,92
Asia;Western Asia;Lebanon;7,10
Asia;South-Eastern Asia;Laos;6,12
Africa;West Africa;Burkina Faso;5,92
Africa;West Africa;Niger;5,70
Africa;West Africa;Benin;5,32
Asia;South-Eastern Asia;Cambodia;6,85
Europe;Central & Eastern Europe;Russia;6,87
Asia;Central Asia and the Caucasus;Kyrgyzstan;5,32
Africa;North Africa;Egypt;5,05
Asia;South-Eastern Asia;Timor-Leste;4,08
Africa;East Africa;Uganda;6,55
Europe;Central & Eastern Europe;Bosnia and Herzegovina;5,85
Asia;Central Asia and the Caucasus;Uzbekistan;4,95
Europe;Central & Eastern Europe;Moldova;5,60
Africa;Southern Africa;Lesotho;3,92
Asia;Southern Asia;Pakistan;6,03
Asia;Central Asia and the Caucasus;Azerbaijan;4,80
Asia;Southern Asia;Nepal;6,57
Asia;Western Asia;Saudi Arabia;6,23
Americas;South America;Guyana;5,97
Africa;West Africa;Sierra Leone;4,95
Americas;Caribbean & Central;Honduras;7,05
Americas;Caribbean & Central;Guatemala;6,60
Asia;Southern Asia;Maldives;4,27
Africa;East Africa;Tanzania;6,20
Americas;Caribbean & Central;Mexico;7,57
Asia;South-Eastern Asia;Philippines;6,63
Asia;South-Eastern Asia;Indonesia;6,85
Oceania;Melanesia;Kiribati;2,45
Americas;South America;Peru;6,40
Africa;North Africa;Algeria;4,88
Africa;East Africa;Djibouti;4,65
Asia;Southern Asia;Bangladesh;5,12
Europe;Southern Europe;Cyprus;4,43
Africa;Central Africa;Angola;5,58
Africa;West Africa;Togo;5,23
Africa;North Africa;Tunisia;4,45
Europe;Central & Eastern Europe;Ukraine;6,48
Africa;Southern Africa;Zambia;4,73
Asia;Central Asia and the Caucasus;Kazakhstan;4,47
Africa;Southern Africa;Namibia;4,30
Africa;Southern Africa;Malawi;4,48
Americas;Caribbean & Central;Antigua and Barbuda;2,98
Asia;South-Eastern Asia;Brunei;2,85
Africa;North Africa;Morocco;4,80
Americas;Caribbean & Central;Panama;6,98
Asia;Southern Asia;Bhutan;3,90
Europe;Central & Eastern Europe;Montenegro;5,90
Africa;East Africa;Ethiopia;5,68
Asia;South-Eastern Asia;Vietnam;6,55
Asia;South-Eastern Asia;Thailand;6,18
Americas;Caribbean & Central;Dominican Republic;5,02
Americas;South America;Bolivia;4,95
Americas;South America;Ecuador;7,07
Europe;Central & Eastern Europe;Hungary;4,62
Americas;South America;Brazil;6,77
Africa;Central Africa;Sao Tome and Principe;1,70
Europe;Central & Eastern Europe;Serbia;6,22
